#time    potential    pressure    kinect   square_kin
1.7    -30.374    361.132    1375.578    1.892215483e6
1.71    -33.233    314.201    1379.749    1.903707733e6
1.72    -34.684    286.772    1381.51    1.908568764e6
1.73    -36.973    251.63    1383.227    1.913317175e6
1.74    -38.975    226.446    1385.992    1.92097287e6
1.75    -32.622    317.062    1385.538    1.919716556e6
1.76    -19.792    491.638    1373.865    1.887505549e6
1.77    -26.873    401.682    1370.499    1.878267797e6
1.78    -32.527    324.835    1379.035    1.901736728e6
1.79    -31.801    331.246    1380.296    1.905217586e6
1.8    -31.987    327.415    1379.593    1.903277061e6
1.81    -28.145    375.618    1379.225    1.902262324e6
1.82    -20.614    465.46    1372.274    1.883136234e6
1.83    -29.997    325.335    1370.977    1.879577974e6
1.84    -45.976    94.591    1386.998    1.923762518e6
1.85    -52.833    -10.481    1397.777    1.953780107e6
1.86    -53.887    -25.685    1401.115    1.963122351e6
1.87    -50.378    33.291    1400.03    1.960085219e6
1.88    -42.482    160.675    1394.275    1.944001456e6
1.89    -35.981    275.982    1386.327    1.92190343e6
1.9    -32.739    351.063    1382.125    1.910269924e6
1.91    -28.303    442.628    1378.897    1.901357377e6
1.92    -19.5    589.916    1372.684    1.88426195e6
1.93    -9.621    743.97    1362.678    1.856891999e6
1.94    -11.473    733.924    1357.869    1.843807757e6
1.95    -12.024    726.383    1361.609    1.853979309e6
1.96    -9.499    742.249    1358.4    1.845251161e6
1.97    -18.742    588.81    1361.617    1.854001449e6
1.98    -31.707    376.286    1373.134    1.885495669e6
1.99    -43.758    176.256    1386.033    1.921088241e6
2.0    -49.615    65.772    1394.85    1.945606137e6
2.01    -50.784    28.725    1397.733    1.953656605e6
2.02    -50.306    25.151    1397.727    1.953639645e6
2.03    -48.996    43.582    1396.997    1.951601409e6
2.04    -43.264    129.835    1394.554    1.944780757e6
2.05    -27.433    350.93    1384.592    1.917094391e6
2.06    -22.715    421.537    1370.123    1.877236489e6
2.07    -29.418    333.176    1375.085    1.890858363e6
2.08    -32.493    284.497    1378.617    1.900585969e6
2.09    -38.548    194.739    1382.742    1.911976214e6
2.1    -44.66    106.207    1389.173    1.929801098e6
2.11    -48.921    49.429    1394.301    1.944076092e6
2.12    -49.593    51.72    1397.257    1.952327361e6
2.13    -41.181    184.828    1394.6    1.944907873e6
2.14    -22.559    453.084    1380.452    1.905648954e6
2.15    -15.073    563.646    1365.108    1.863519616e6
2.16    -23.76    443.827    1366.098    1.866224871e6
2.17    -37.84    241.845    1379.438    1.902850304e6
2.18    -46.472    110.685    1390.269    1.932848973e6
2.19    -52.307    24.111    1396.92    1.951385643e6
2.2    -55.527    -16.597    1401.487    1.964166911e6
